"Pathway Name","Full Stack Developer Pathway"
"Pathway Description","Good links to all parts of the stack, even though that's a ridiculously large area."
"Content Warning","!!!WARNING: Please basically ignore this pathway. This is an ad hoc development pathway that I've been using to quickly test this system. The links contained within work but many times the ""curator context"" is comedically incomplete or wrong. "
"Acknowledgments",""
"Created By","allanhaggett"
"Created Date","2025-05-04T20:53:16.332Z"
"Modified By","itr8tech"
"Version","4kb255-2025-07-06"
"Last Updated","2025-07-06T02:38:49.424Z"
"Total Steps","6"
"Total Bookmarks","38"
""
"Step","Title","URL","Description","Context","Type","Content Type","Sort Order"
"Accessibility","A11Y Project","https://www.a11yproject.com","Learn the fundamentals and principles behind accessible design","Start here.","Required","Read","0"
"Accessibility","Accessibility on Mozilla Developer Network (MDN)","https://developer.mozilla.org/en-US/docs/Web/Accessibility","Accessibility (often abbreviated to A11y — as in, ""a"", then 11 characters, and then ""y"") in web development means enabling as many people as possible to use websites, even when those people's abilities are limited in some way.

For many people, technology makes things easier. For people with disabilities, technology makes things possible. Accessibility means developing content to be as accessible as possible, no matter an individual's physical and cognitive abilities and how they access the web.

The Web is fundamentally designed to work for all people, whatever their hardware, software, language, location, or ability. When the Web meets this goal, it is accessible to people with a diverse range of hearing, movement, sight, and cognitive ability.
– (W3C - Accessibility)","A wonderful resource that will take you far.","Required","Read","1"
"Accessibility","Introduction to Web Accessibility | Web Accessibility Initiative (WAI) | W3C","https://www.w3.org/WAI/fundamentals/accessibility-intro/","Accessibility resources free online from the international standards organization: W3C Web Accessibility Initiative (WAI).","","resource","read","2"
"Security","Diceware Passphrase Home","https://theworld.com/~reinhold/diceware.html","This page offers a better way to create a strong, yet easy to remember, passphrase for use with encryption and security programs. Weak passwords and passphrases are one of the most common flaws in computer security. Take a few minutes and learn how to do it right. The information presented here can be used by anyone. No background in cryptography or mathematics is required. Just follow the simple steps below.","Good tool.","Required","Read","0"
"Security","List of Emojis HEX/HTML Codes - DEV Community","https://dev.to/rodrigoodhin/list-of-emojis-hex-codes-35ma","Animal Emoji             Animal Type             Unicode Hex            ... Tagged with webdev, emoji, hexcodes, html.","","Required","Read","1"
"Security","Privacy Decrypted #4: Understanding anonymity vs. privacy | Proton","https://proton.me/blog/anonymity-vs-privacy","Anonymity is not the same thing as privacy, and confusing these two concepts can weaken your online security.","","Required","Read","2"
"Back End","GitHub - bcgov/sso-keycloak","https://github.com/bcgov/sso-keycloak#specifying-an-idp-to-bypass-the-keycloak-login-page","Contribute to bcgov/sso-keycloak development by creating an account on GitHub.","SSO DIY","Required","Read","0"
"Back End","How to Set Up Nginx, MariaDB, and PHP with Docker Compose","https://linuxiac.com/how-to-set-up-lemp-stack-with-docker-compose/","This guide shows you how to set up your LEMP (Nginx, MariaDB, PHP) stack easily and quickly using Docker Compose.","","Required","Participate","1"
"Back End","Tutorial 0 - Get it RunningView","https://postgrest.org/en/stable/tutorials/tut0.html","Welcome to PostgREST! In this pre-tutorial we’re going to get things running so you can create your first simple API. PostgREST is a standalone web server which turns a PostgreSQL database into a RESTful API. It serves an API that is customized based on the structure of the underlying database.","Testing merging.","Bonus","Listen","2"
"Back End","Understanding GitHub Actions - GitHub Docs","https://docs.github.com/en/actions/about-github-actions/understanding-github-actions","Learn the basics of GitHub Actions, including core concepts and essential terminology.","Should be in it's own step practivally.","Required","Read","3"
