"Pathway Name","Full Stack Developer"
"Pathway Description","Good links to all parts of the stack, even though that's a ridiculously large area. Bump."
"Content Warning","!!!WARNING: Please basically ignore this pathway. This is an ad hoc development pathway that I've been using to quickly test this system. The links contained within work but many times the ""curator context"" is comedically incomplete or wrong. "
"Acknowledgments","The Corporate Learning Branch would like to acknowledge the support we received from many of our colleagues and partners in multiple branches/ministries during the development of this learning resource. We also appreciate the invaluable comments we received during our engagement sessions.

In particular, our sincere thanks go out to colleagues and partners at the following entities:

* Policy & Legislation, BC Data Service, CITZ
* Multiculturalism & Anti-Racism Branch, AG
* PSA REDI, Policy and Employee Relations
* SDPR Inclusion, Diversity and Cultural Safety (IDCS) & Anti-Racism 101 course
* BIPOC Employee Resource Group
* Indigenous Employees Network"
"Created By","allanhaggett"
"Created Date","2025-05-04T20:53:16.332Z"
"Modified By","allanhaggett"
"Version","46ecqq-2025-05-13"
"Last Updated","2025-05-13T15:47:33.394Z"
"Total Steps","5"
"Total Bookmarks","31"
""
"Step","Title","URL","Description","Context","Type","Content Type","Sort Order"
"Back End","GitHub - bcgov/sso-keycloak","https://github.com/bcgov/sso-keycloak#specifying-an-idp-to-bypass-the-keycloak-login-page","Contribute to bcgov/sso-keycloak development by creating an account on GitHub.","SSO DIY","Required","Read","0"
"Back End","How to Set Up Nginx, MariaDB, and PHP with Docker Compose","https://linuxiac.com/how-to-set-up-lemp-stack-with-docker-compose/","This guide shows you how to set up your LEMP (Nginx, MariaDB, PHP) stack easily and quickly using Docker Compose.","","Required","Participate","1"
"Back End","Tutorial 0 - Get it RunningView","https://postgrest.org/en/stable/tutorials/tut0.html","Welcome to PostgREST! In this pre-tutorial we’re going to get things running so you can create your first simple API. PostgREST is a standalone web server which turns a PostgreSQL database into a RESTful API. It serves an API that is customized based on the structure of the underlying database.","Testing merging.","Bonus","Listen","2"
"Back End","Understanding GitHub Actions - GitHub Docs","https://docs.github.com/en/actions/about-github-actions/understanding-github-actions","Learn the basics of GitHub Actions, including core concepts and essential terminology.","Should be in it's own step practivally.","Required","Read","3"
"Back End","REST Client - Visual Studio Marketplace","https://marketplace.visualstudio.com/items?itemName=humao.rest-client","Extension for Visual Studio Code - REST Client for Visual Studio Code","","Required","Read","4"
"Back End","nginx","https://nginx.org/","nginx (""engine x"") is an HTTP web server, reverse proxy, content cache, load balancer, TCP/UDP proxy server, and mail proxy server. Originally written by Igor Sysoev and distributed under the 2-clause BSD License. Enterprise distributions, commercial support and training are available from F5, Inc.","","Required","Read","5"
"Back End","Azure AI Search-Retrieval-Augmented Generation | Microsoft Azure","https://azure.microsoft.com/en-us/products/ai-services/ai-search/","Azure AI Search, formerly Azure Cognitive Search, is knowledge retrieval system GenAI applications powered byretrieval-augmented generation (RAG). Deliver the best AI experience to every user, at any scale.","We may get to use this so know what it is.","Required","Read","6"
"Front End","Flexbox Froggy - A game for learning CSS flexbox","https://flexboxfroggy.com/","Welcome to Flexbox Froggy, a game where you help Froggy and friends by writing CSS code! Guide this frog to the lilypad on the right by using the justify-content property, which aligns items horizontally.","Get good at understanding this and the world is your oyster.","Required","Participate","0"
"Front End","Tailwind Labs - YouTube","https://www.youtube.com/channel/UCOe-8z68tgw9ioqVvYM4ddQ","We're a small team of developers and designers spread out all across the world, building tools that help other developers build better user interfaces. We cr...","Watch this!","Required","Watch","1"
"Front End","10 ways to speed up web font loading","https://byteofdev.com/posts/speed-up-font-loading/","Font loading can slow page load times significantly. This article shows you how to reduce the impact.","Performance is king.","Required","Watch","2"
"Front End","SimplePie Documentation: Documentation","https://www.simplepie.org/wiki/","A super-fast, easy-to-use, RSS and Atom parser written in PHP.","More tetsing","Required","Read","3"
"Front End","</> htmx - high power tools for html","https://htmx.org/","htmx gives you access to AJAX, CSS Transitions, WebSockets and Server Sent Events directly in HTML, using attributes, so you can build modern user interfaces with the simplicity and power of hypertext

    htmx is small (~14k min.gz’d), dependency-free, extendable, IE11 compatible & has reduced code base sizes by 67% when compared with react","Fun stuff.","Required","Read","4"
"Front End","Testing dead link","https://web-bdec76-prod.apps.silver.devops.gov.bc.ca/","This link should be dead.","Test","Required","Read","5"
"Front End","systemfontstack","https://systemfontstack.com/","Webfonts were great when most computers only had a handful of good fonts pre-installed. Thanks to font creation and buying by Apple, Microsoft, Google, and other folks, most computers have good—no, great—fonts installed, and they're a great option if you want to not load a separate font.","BC Sans is cool and all...","Required","Read","6"
"Front End","A Beginner's Guide to HTML, CSS, and JavaScript | HackerNoon","https://hackernoon.com/a-beginners-guide-to-html-css-and-javascript","Unlock Your Web Development Potential with this Beginner's Guide to HTML, CSS, and JavaScript! Learn the Fundamentals and Create Stunning Websites.","","Required","Read","7"
